record_id,student_id,academic_year,level,term,record_date,academic_scores
11,S001,2024/2025,9,Q3,2025-04-30,"{""pendidikan_agama"": 78, ""pendidikan_pancasila"": 87, ""bahasa_indonesia"": 70, ""matematika"": 89, ""bahasa_inggris"": 60, ""fisika"": 76, ""kimia"": 92, ""biologi"": 71, ""sosiologi"": 92, ""ekonomi"": 66, ""geografi"": 100, ""pjok"": 79, ""informatika"": 100, ""seni_dan_prakarya"": 92}"
12,S001,2024/2025,9,Q4,2025-07-31,"{""pendidikan_agama"": 98, ""pendidikan_pancasila"": 72, ""bahasa_indonesia"": 69, ""matematika"": 83, ""bahasa_inggris"": 70, ""fisika"": 94, ""kimia"": 93, ""biologi"": 60, ""sosiologi"": 98, ""ekonomi"": 80, ""geografi"": 91, ""pjok"": 61, ""informatika"": 67, ""seni_dan_prakarya"": 83}"
13,S002,2022/2023,7,Q1,2022-10-31,"{""pendidikan_agama"": 79, ""pendidikan_pancasila"": 75, ""bahasa_indonesia"": 63, ""matematika"": 75, ""bahasa_inggris"": 96, ""fisika"": 65, ""kimia"": 65, ""biologi"": 91, ""sosiologi"": 64, ""ekonomi"": 94, ""geografi"": 68, ""pjok"": 68, ""informatika"": 90, ""seni_dan_prakarya"": 95}"
14,S002,2022/2023,7,Q2,2023-01-31,"{""pendidikan_agama"": 70, ""pendidikan_pancasila"": 76, ""bahasa_indonesia"": 93, ""matematika"": 98, ""bahasa_inggris"": 87, ""fisika"": 73, ""kimia"": 94, ""biologi"": 72, ""sosiologi"": 79, ""ekonomi"": 85, ""geografi"": 83, ""pjok"": 88, ""informatika"": 93, ""seni_dan_prakarya"": 88}"
15,S002,2022/2023,7,Q3,2023-04-30,"{""pendidikan_agama"": 67, ""pendidikan_pancasila"": 75, ""bahasa_indonesia"": 74, ""matematika"": 64, ""bahasa_inggris"": 81, ""fisika"": 61, ""kimia"": 97, ""biologi"": 95, ""sosiologi"": 74, ""ekonomi"": 97, ""geografi"": 74, ""pjok"": 60, ""informatika"": 64, ""seni_dan_prakarya"": 100}"
16,S002,2022/2023,7,Q4,2023-07-31,"{""pendidikan_agama"": 63, ""pendidikan_pancasila"": 74, ""bahasa_indonesia"": 64, ""matematika"": 62, ""bahasa_inggris"": 81, ""fisika"": 64, ""kimia"": 92, ""biologi"": 75, ""sosiologi"": 77, ""ekonomi"": 91, ""geografi"": 73, ""pjok"": 94, ""informatika"": 68, ""seni_dan_prakarya"": 96}"
17,S002,2023/2024,8,Q1,2023-10-31,"{""pendidikan_agama"": 96, ""pendidikan_pancasila"": 90, ""bahasa_indonesia"": 75, ""matematika"": 90, ""bahasa_inggris"": 86, ""fisika"": 72, ""kimia"": 66, ""biologi"": 66, ""sosiologi"": 87, ""ekonomi"": 82, ""geografi"": 87, ""pjok"": 86, ""informatika"": 89, ""seni_dan_prakarya"": 63}"
18,S002,2023/2024,8,Q2,2024-01-31,"{""pendidikan_agama"": 66, ""pendidikan_pancasila"": 63, ""bahasa_indonesia"": 85, ""matematika"": 81, ""bahasa_inggris"": 66, ""fisika"": 75, ""kimia"": 72, ""biologi"": 72, ""sosiologi"": 94, ""ekonomi"": 88, ""geografi"": 68, ""pjok"": 87, ""informatika"": 71, ""seni_dan_prakarya"": 77}"
19,S002,2023/2024,8,Q3,2024-04-30,"{""pendidikan_agama"": 89, ""pendidikan_pancasila"": 75, ""bahasa_indonesia"": 64, ""matematika"": 88, ""bahasa_inggris"": 95, ""fisika"": 66, ""kimia"": 63, ""biologi"": 94, ""sosiologi"": 60, ""ekonomi"": 65, ""geografi"": 75, ""pjok"": 70, ""informatika"": 86, ""seni_dan_prakarya"": 91}"
20,S002,2023/2024,8,Q4,2024-07-31,"{""pendidikan_agama"": 90, ""pendidikan_pancasila"": 73, ""bahasa_indonesia"": 85, ""matematika"": 63, ""bahasa_inggris"": 70, ""fisika"": 84, ""kimia"": 60, ""biologi"": 84, ""sosiologi"": 76, ""ekonomi"": 89, ""geografi"": 78, ""pjok"": 87, ""informatika"": 95, ""seni_dan_prakarya"": 91}"
21,S002,2024/2025,9,Q1,2024-10-31,"{""pendidikan_agama"": 69, ""pendidikan_pancasila"": 72, ""bahasa_indonesia"": 78, ""matematika"": 73, ""bahasa_inggris"": 63, ""fisika"": 97, ""kimia"": 94, ""biologi"": 63, ""sosiologi"": 80, ""ekonomi"": 63, ""geografi"": 63, ""pjok"": 97, ""informatika"": 90, ""seni_dan_prakarya"": 92}"
22,S002,2024/2025,9,Q2,2025-01-31,"{""pendidikan_agama"": 93, ""pendidikan_pancasila"": 70, ""bahasa_indonesia"": 63, ""matematika"": 92, ""bahasa_inggris"": 65, ""fisika"": 71, ""kimia"": 64, ""biologi"": 98, ""sosiologi"": 64, ""ekonomi"": 75, ""geografi"": 85, ""pjok"": 67, ""informatika"": 96, ""seni_dan_prakarya"": 75}"
23,S002,2024/2025,9,Q3,2025-04-30,"{""pendidikan_agama"": 97, ""pendidikan_pancasila"": 98, ""bahasa_indonesia"": 62, ""matematika"": 99, ""bahasa_inggris"": 65, ""fisika"": 86, ""kimia"": 97, ""biologi"": 96, ""sosiologi"": 93, ""ekonomi"": 80, ""geografi"": 76, ""pjok"": 73, ""informatika"": 80, ""seni_dan_prakarya"": 75}"
24,S002,2024/2025,9,Q4,2025-07-31,"{""pendidikan_agama"": 76, ""pendidikan_pancasila"": 85, ""bahasa_indonesia"": 68, ""matematika"": 79, ""bahasa_inggris"": 89, ""fisika"": 80, ""kimia"": 64, ""biologi"": 60, ""sosiologi"": 89, ""ekonomi"": 99, ""geografi"": 96, ""pjok"": 66, ""informatika"": 64, ""seni_dan_prakarya"": 94}"
25,S003,2022/2023,7,Q1,2022-10-31,"{""pendidikan_agama"": 73, ""pendidikan_pancasila"": 92, ""bahasa_indonesia"": 76, ""matematika"": 68, ""bahasa_inggris"": 82, ""fisika"": 64, ""kimia"": 75, ""biologi"": 83, ""sosiologi"": 78, ""ekonomi"": 70, ""geografi"": 88, ""pjok"": 94, ""informatika"": 79, ""seni_dan_prakarya"": 99}"
26,S003,2022/2023,7,Q2,2023-01-31,"{""pendidikan_agama"": 93, ""pendidikan_pancasila"": 60, ""bahasa_indonesia"": 95, ""matematika"": 79, ""bahasa_inggris"": 66, ""fisika"": 68, ""kimia"": 76, ""biologi"": 67, ""sosiologi"": 66, ""ekonomi"": 95, ""geografi"": 69, ""pjok"": 77, ""informatika"": 78, ""seni_dan_prakarya"": 98}"
27,S003,2022/2023,7,Q3,2023-04-30,"{""pendidikan_agama"": 73, ""pendidikan_pancasila"": 81, ""bahasa_indonesia"": 73, ""matematika"": 100, ""bahasa_inggris"": 76, ""fisika"": 92, ""kimia"": 91, ""biologi"": 76, ""sosiologi"": 63, ""ekonomi"": 65, ""geografi"": 100, ""pjok"": 87, ""informatika"": 77, ""seni_dan_prakarya"": 62}"
28,S003,2022/2023,7,Q4,2023-07-31,"{""pendidikan_agama"": 60, ""pendidikan_pancasila"": 81, ""bahasa_indonesia"": 68, ""matematika"": 100, ""bahasa_inggris"": 76, ""fisika"": 70, ""kimia"": 88, ""biologi"": 95, ""sosiologi"": 87, ""ekonomi"": 95, ""geografi"": 60, ""pjok"": 67, ""informatika"": 64, ""seni_dan_prakarya"": 69}"
29,S003,2023/2024,8,Q1,2023-10-31,"{""pendidikan_agama"": 94, ""pendidikan_pancasila"": 62, ""bahasa_indonesia"": 83, ""matematika"": 97, ""bahasa_inggris"": 95, ""fisika"": 69, ""kimia"": 87, ""biologi"": 68, ""sosiologi"": 62, ""ekonomi"": 79, ""geografi"": 83, ""pjok"": 62, ""informatika"": 82, ""seni_dan_prakarya"": 73}"
30,S003,2023/2024,8,Q2,2024-01-31,"{""pendidikan_agama"": 75, ""pendidikan_pancasila"": 66, ""bahasa_indonesia"": 82, ""matematika"": 95, ""bahasa_inggris"": 86, ""fisika"": 99, ""kimia"": 69, ""biologi"": 75, ""sosiologi"": 70, ""ekonomi"": 71, ""geografi"": 86, ""pjok"": 61, ""informatika"": 71, ""seni_dan_prakarya"": 81}"
31,S003,2023/2024,8,Q3,2024-04-30,"{""pendidikan_agama"": 86, ""pendidikan_pancasila"": 75, ""bahasa_indonesia"": 77, ""matematika"": 70, ""bahasa_inggris"": 66, ""fisika"": 84, ""kimia"": 62, ""biologi"": 90, ""sosiologi"": 74, ""ekonomi"": 72, ""geografi"": 89, ""pjok"": 82, ""informatika"": 79, ""seni_dan_prakarya"": 74}"
32,S003,2023/2024,8,Q4,2024-07-31,"{""pendidikan_agama"": 74, ""pendidikan_pancasila"": 61, ""bahasa_indonesia"": 72, ""matematika"": 85, ""bahasa_inggris"": 81, ""fisika"": 77, ""kimia"": 64, ""biologi"": 77, ""sosiologi"": 82, ""ekonomi"": 92, ""geografi"": 85, ""pjok"": 94, ""informatika"": 81, ""seni_dan_prakarya"": 61}"
33,S003,2024/2025,9,Q1,2024-10-31,"{""pendidikan_agama"": 67, ""pendidikan_pancasila"": 76, ""bahasa_indonesia"": 71, ""matematika"": 97, ""bahasa_inggris"": 76, ""fisika"": 62, ""kimia"": 66, ""biologi"": 98, ""sosiologi"": 87, ""ekonomi"": 82, ""geografi"": 80, ""pjok"": 87, ""informatika"": 98, ""seni_dan_prakarya"": 92}"
34,S003,2024/2025,9,Q2,2025-01-31,"{""pendidikan_agama"": 67, ""pendidikan_pancasila"": 84, ""bahasa_indonesia"": 96, ""matematika"": 72, ""bahasa_inggris"": 76, ""fisika"": 62, ""kimia"": 87, ""biologi"": 60, ""sosiologi"": 93, ""ekonomi"": 94, ""geografi"": 72, ""pjok"": 83, ""informatika"": 87, ""seni_dan_prakarya"": 64}"
35,S003,2024/2025,9,Q3,2025-04-30,"{""pendidikan_agama"": 81, ""pendidikan_pancasila"": 99, ""bahasa_indonesia"": 80, ""matematika"": 67, ""bahasa_inggris"": 79, ""fisika"": 92, ""kimia"": 79, ""biologi"": 86, ""sosiologi"": 80, ""ekonomi"": 85, ""geografi"": 78, ""pjok"": 95, ""informatika"": 68, ""seni_dan_prakarya"": 72}"
36,S003,2024/2025,9,Q4,2025-07-31,"{""pendidikan_agama"": 86, ""pendidikan_pancasila"": 84, ""bahasa_indonesia"": 71, ""matematika"": 99, ""bahasa_inggris"": 96, ""fisika"": 79, ""kimia"": 85, ""biologi"": 95, ""sosiologi"": 60, ""ekonomi"": 79, ""geografi"": 78, ""pjok"": 73, ""informatika"": 87, ""seni_dan_prakarya"": 97}"
37,S004,2022/2023,7,Q1,2022-10-31,"{""pendidikan_agama"": 98, ""pendidikan_pancasila"": 80, ""bahasa_indonesia"": 89, ""matematika"": 88, ""bahasa_inggris"": 88, ""fisika"": 73, ""kimia"": 92, ""biologi"": 90, ""sosiologi"": 70, ""ekonomi"": 65, ""geografi"": 78, ""pjok"": 92, ""informatika"": 100, ""seni_dan_prakarya"": 99}"
38,S004,2022/2023,7,Q2,2023-01-31,"{""pendidikan_agama"": 81, ""pendidikan_pancasila"": 65, ""bahasa_indonesia"": 75, ""matematika"": 79, ""bahasa_inggris"": 74, ""fisika"": 72, ""kimia"": 69, ""biologi"": 61, ""sosiologi"": 62, ""ekonomi"": 75, ""geografi"": 90, ""pjok"": 99, ""informatika"": 64, ""seni_dan_prakarya"": 89}"
39,S004,2022/2023,7,Q3,2023-04-30,"{""pendidikan_agama"": 86, ""pendidikan_pancasila"": 100, ""bahasa_indonesia"": 96, ""matematika"": 72, ""bahasa_inggris"": 84, ""fisika"": 91, ""kimia"": 85, ""biologi"": 75, ""sosiologi"": 69, ""ekonomi"": 60, ""geografi"": 66, ""pjok"": 87, ""informatika"": 74, ""seni_dan_prakarya"": 71}"
40,S004,2022/2023,7,Q4,2023-07-31,"{""pendidikan_agama"": 93, ""pendidikan_pancasila"": 89, ""bahasa_indonesia"": 63, ""matematika"": 95, ""bahasa_inggris"": 75, ""fisika"": 67, ""kimia"": 89, ""biologi"": 68, ""sosiologi"": 89, ""ekonomi"": 93, ""geografi"": 95, ""pjok"": 98, ""informatika"": 80, ""seni_dan_prakarya"": 88}"
41,S004,2023/2024,8,Q1,2023-10-31,"{""pendidikan_agama"": 99, ""pendidikan_pancasila"": 92, ""bahasa_indonesia"": 87, ""matematika"": 95, ""bahasa_inggris"": 88, ""fisika"": 70, ""kimia"": 90, ""biologi"": 88, ""sosiologi"": 76, ""ekonomi"": 75, ""geografi"": 100, ""pjok"": 77, ""informatika"": 93, ""seni_dan_prakarya"": 91}"
42,S004,2023/2024,8,Q2,2024-01-31,"{""pendidikan_agama"": 100, ""pendidikan_pancasila"": 75, ""bahasa_indonesia"": 77, ""matematika"": 88, ""bahasa_inggris"": 64, ""fisika"": 78, ""kimia"": 75, ""biologi"": 77, ""sosiologi"": 81, ""ekonomi"": 80, ""geografi"": 94, ""pjok"": 65, ""informatika"": 68, ""seni_dan_prakarya"": 69}"
43,S004,2023/2024,8,Q3,2024-04-30,"{""pendidikan_agama"": 74, ""pendidikan_pancasila"": 84, ""bahasa_indonesia"": 69, ""matematika"": 73, ""bahasa_inggris"": 64, ""fisika"": 86, ""kimia"": 86, ""biologi"": 81, ""sosiologi"": 94, ""ekonomi"": 89, ""geografi"": 86, ""pjok"": 63, ""informatika"": 73, ""seni_dan_prakarya"": 86}"
44,S004,2023/2024,8,Q4,2024-07-31,"{""pendidikan_agama"": 84, ""pendidikan_pancasila"": 97, ""bahasa_indonesia"": 61, ""matematika"": 96, ""bahasa_inggris"": 84, ""fisika"": 90, ""kimia"": 60, ""biologi"": 82, ""sosiologi"": 79, ""ekonomi"": 84, ""geografi"": 86, ""pjok"": 94, ""informatika"": 94, ""seni_dan_prakarya"": 98}"
45,S004,2024/2025,9,Q1,2024-10-31,"{""pendidikan_agama"": 74, ""pendidikan_pancasila"": 91, ""bahasa_indonesia"": 74, ""matematika"": 77, ""bahasa_inggris"": 87, ""fisika"": 91, ""kimia"": 61, ""biologi"": 84, ""sosiologi"": 81, ""ekonomi"": 85, ""geografi"": 70, ""pjok"": 89, ""informatika"": 68, ""seni_dan_prakarya"": 99}"
46,S004,2024/2025,9,Q2,2025-01-31,"{""pendidikan_agama"": 94, ""pendidikan_pancasila"": 61, ""bahasa_indonesia"": 85, ""matematika"": 97, ""bahasa_inggris"": 96, ""fisika"": 61, ""kimia"": 65, ""biologi"": 87, ""sosiologi"": 68, ""ekonomi"": 89, ""geografi"": 71, ""pjok"": 63, ""informatika"": 76, ""seni_dan_prakarya"": 84}"
47,S004,2024/2025,9,Q3,2025-04-30,"{""pendidikan_agama"": 80, ""pendidikan_pancasila"": 73, ""bahasa_indonesia"": 89, ""matematika"": 80, ""bahasa_inggris"": 81, ""fisika"": 84, ""kimia"": 77, ""biologi"": 86, ""sosiologi"": 76, ""ekonomi"": 65, ""geografi"": 90, ""pjok"": 61, ""informatika"": 94, ""seni_dan_prakarya"": 63}"
48,S004,2024/2025,9,Q4,2025-07-31,"{""pendidikan_agama"": 82, ""pendidikan_pancasila"": 74, ""bahasa_indonesia"": 64, ""matematika"": 62, ""bahasa_inggris"": 61, ""fisika"": 75, ""kimia"": 72, ""biologi"": 61, ""sosiologi"": 99, ""ekonomi"": 69, ""geografi"": 75, ""pjok"": 68, ""informatika"": 90, ""seni_dan_prakarya"": 67}"
49,S005,2022/2023,7,Q1,2022-10-31,"{""pendidikan_agama"": 96, ""pendidikan_pancasila"": 73, ""bahasa_indonesia"": 89, ""matematika"": 76, ""bahasa_inggris"": 83, ""fisika"": 70, ""kimia"": 98, ""biologi"": 98, ""sosiologi"": 67, ""ekonomi"": 70, ""geografi"": 79, ""pjok"": 66, ""informatika"": 97, ""seni_dan_prakarya"": 61}"
50,S005,2022/2023,7,Q2,2023-01-31,"{""pendidikan_agama"": 79, ""pendidikan_pancasila"": 96, ""bahasa_indonesia"": 84, ""matematika"": 85, ""bahasa_inggris"": 72, ""fisika"": 64, ""kimia"": 97, ""biologi"": 100, ""sosiologi"": 75, ""ekonomi"": 66, ""geografi"": 79, ""pjok"": 98, ""informatika"": 67, ""seni_dan_prakarya"": 96}"
51,S005,2022/2023,7,Q3,2023-04-30,"{""pendidikan_agama"": 62, ""pendidikan_pancasila"": 82, ""bahasa_indonesia"": 94, ""matematika"": 87, ""bahasa_inggris"": 83, ""fisika"": 64, ""kimia"": 92, ""biologi"": 81, ""sosiologi"": 60, ""ekonomi"": 86, ""geografi"": 91, ""pjok"": 66, ""informatika"": 87, ""seni_dan_prakarya"": 83}"
52,S005,2022/2023,7,Q4,2023-07-31,"{""pendidikan_agama"": 100, ""pendidikan_pancasila"": 89, ""bahasa_indonesia"": 69, ""matematika"": 87, ""bahasa_inggris"": 71, ""fisika"": 93, ""kimia"": 77, ""biologi"": 99, ""sosiologi"": 94, ""ekonomi"": 90, ""geografi"": 89, ""pjok"": 87, ""informatika"": 97, ""seni_dan_prakarya"": 77}"
53,S005,2023/2024,8,Q1,2023-10-31,"{""pendidikan_agama"": 80, ""pendidikan_pancasila"": 75, ""bahasa_indonesia"": 65, ""matematika"": 77, ""bahasa_inggris"": 88, ""fisika"": 75, ""kimia"": 89, ""biologi"": 96, ""sosiologi"": 99, ""ekonomi"": 84, ""geografi"": 81, ""pjok"": 61, ""informatika"": 91, ""seni_dan_prakarya"": 80}"
54,S005,2023/2024,8,Q2,2024-01-31,"{""pendidikan_agama"": 71, ""pendidikan_pancasila"": 91, ""bahasa_indonesia"": 73, ""matematika"": 82, ""bahasa_inggris"": 76, ""fisika"": 81, ""kimia"": 77, ""biologi"": 98, ""sosiologi"": 77, ""ekonomi"": 95, ""geografi"": 60, ""pjok"": 93, ""informatika"": 72, ""seni_dan_prakarya"": 65}"
55,S005,2023/2024,8,Q3,2024-04-30,"{""pendidikan_agama"": 75, ""pendidikan_pancasila"": 86, ""bahasa_indonesia"": 91, ""matematika"": 95, ""bahasa_inggris"": 75, ""fisika"": 90, ""kimia"": 91, ""biologi"": 88, ""sosiologi"": 61, ""ekonomi"": 65, ""geografi"": 78, ""pjok"": 74, ""informatika"": 85, ""seni_dan_prakarya"": 75}"
56,S005,2023/2024,8,Q4,2024-07-31,"{""pendidikan_agama"": 79, ""pendidikan_pancasila"": 97, ""bahasa_indonesia"": 83, ""matematika"": 90, ""bahasa_inggris"": 95, ""fisika"": 93, ""kimia"": 82, ""biologi"": 87, ""sosiologi"": 95, ""ekonomi"": 81, ""geografi"": 82, ""pjok"": 89, ""informatika"": 77, ""seni_dan_prakarya"": 79}"
57,S005,2024/2025,9,Q1,2024-10-31,"{""pendidikan_agama"": 76, ""pendidikan_pancasila"": 74, ""bahasa_indonesia"": 67, ""matematika"": 72, ""bahasa_inggris"": 80, ""fisika"": 67, ""kimia"": 94, ""biologi"": 71, ""sosiologi"": 72, ""ekonomi"": 73, ""geografi"": 90, ""pjok"": 77, ""informatika"": 97, ""seni_dan_prakarya"": 93}"
58,S005,2024/2025,9,Q2,2025-01-31,"{""pendidikan_agama"": 98, ""pendidikan_pancasila"": 78, ""bahasa_indonesia"": 66, ""matematika"": 72, ""bahasa_inggris"": 78, ""fisika"": 74, ""kimia"": 83, ""biologi"": 71, ""sosiologi"": 79, ""ekonomi"": 60, ""geografi"": 94, ""pjok"": 68, ""informatika"": 77, ""seni_dan_prakarya"": 62}"
59,S005,2024/2025,9,Q3,2025-04-30,"{""pendidikan_agama"": 63, ""pendidikan_pancasila"": 95, ""bahasa_indonesia"": 78, ""matematika"": 68, ""bahasa_inggris"": 100, ""fisika"": 91, ""kimia"": 66, ""biologi"": 60, ""sosiologi"": 96, ""ekonomi"": 78, ""geografi"": 90, ""pjok"": 90, ""informatika"": 88, ""seni_dan_prakarya"": 81}"
60,S005,2024/2025,9,Q4,2025-07-31,"{""pendidikan_agama"": 71, ""pendidikan_pancasila"": 63, ""bahasa_indonesia"": 76, ""matematika"": 90, ""bahasa_inggris"": 67, ""fisika"": 64, ""kimia"": 85, ""biologi"": 91, ""sosiologi"": 64, ""ekonomi"": 96, ""geografi"": 100, ""pjok"": 63, ""informatika"": 69, ""seni_dan_prakarya"": 69}"
61,S006,2022/2023,7,Q1,2022-10-31,"{""pendidikan_agama"": 96, ""pendidikan_pancasila"": 79, ""bahasa_indonesia"": 65, ""matematika"": 75, ""bahasa_inggris"": 67, ""fisika"": 95, ""kimia"": 86, ""biologi"": 98, ""sosiologi"": 98, ""ekonomi"": 99, ""geografi"": 74, ""pjok"": 93, ""informatika"": 84, ""seni_dan_prakarya"": 88}"
62,S006,2022/2023,7,Q2,2023-01-31,"{""pendidikan_agama"": 88, ""pendidikan_pancasila"": 79, ""bahasa_indonesia"": 97, ""matematika"": 87, ""bahasa_inggris"": 79, ""fisika"": 96, ""kimia"": 99, ""biologi"": 63, ""sosiologi"": 99, ""ekonomi"": 66, ""geografi"": 73, ""pjok"": 100, ""informatika"": 73, ""seni_dan_prakarya"": 76}"
63,S006,2022/2023,7,Q3,2023-04-30,"{""pendidikan_agama"": 65, ""pendidikan_pancasila"": 70, ""bahasa_indonesia"": 75, ""matematika"": 71, ""bahasa_inggris"": 95, ""fisika"": 64, ""kimia"": 70, ""biologi"": 60, ""sosiologi"": 86, ""ekonomi"": 88, ""geografi"": 98, ""pjok"": 90, ""informatika"": 78, ""seni_dan_prakarya"": 62}"
64,S006,2022/2023,7,Q4,2023-07-31,"{""pendidikan_agama"": 74, ""pendidikan_pancasila"": 78, ""bahasa_indonesia"": 78, ""matematika"": 89, ""bahasa_inggris"": 64, ""fisika"": 74, ""kimia"": 76, ""biologi"": 100, ""sosiologi"": 97, ""ekonomi"": 72, ""geografi"": 87, ""pjok"": 67, ""informatika"": 94, ""seni_dan_prakarya"": 74}"
65,S006,2023/2024,8,Q1,2023-10-31,"{""pendidikan_agama"": 69, ""pendidikan_pancasila"": 77, ""bahasa_indonesia"": 69, ""matematika"": 64, ""bahasa_inggris"": 63, ""fisika"": 70, ""kimia"": 79, ""biologi"": 98, ""sosiologi"": 96, ""ekonomi"": 78, ""geografi"": 88, ""pjok"": 67, ""informatika"": 89, ""seni_dan_prakarya"": 79}"
66,S006,2023/2024,8,Q2,2024-01-31,"{""pendidikan_agama"": 85, ""pendidikan_pancasila"": 77, ""bahasa_indonesia"": 92, ""matematika"": 94, ""bahasa_inggris"": 91, ""fisika"": 88, ""kimia"": 65, ""biologi"": 98, ""sosiologi"": 62, ""ekonomi"": 87, ""geografi"": 80, ""pjok"": 98, ""informatika"": 76, ""seni_dan_prakarya"": 61}"
67,S006,2023/2024,8,Q3,2024-04-30,"{""pendidikan_agama"": 65, ""pendidikan_pancasila"": 74, ""bahasa_indonesia"": 96, ""matematika"": 97, ""bahasa_inggris"": 61, ""fisika"": 77, ""kimia"": 96, ""biologi"": 62, ""sosiologi"": 71, ""ekonomi"": 90, ""geografi"": 93, ""pjok"": 88, ""informatika"": 77, ""seni_dan_prakarya"": 71}"
68,S006,2023/2024,8,Q4,2024-07-31,"{""pendidikan_agama"": 97, ""pendidikan_pancasila"": 87, ""bahasa_indonesia"": 100, ""matematika"": 91, ""bahasa_inggris"": 65, ""fisika"": 90, ""kimia"": 82, ""biologi"": 86, ""sosiologi"": 81, ""ekonomi"": 80, ""geografi"": 66, ""pjok"": 70, ""informatika"": 81, ""seni_dan_prakarya"": 86}"
69,S006,2024/2025,9,Q1,2024-10-31,"{""pendidikan_agama"": 91, ""pendidikan_pancasila"": 78, ""bahasa_indonesia"": 85, ""matematika"": 95, ""bahasa_inggris"": 62, ""fisika"": 89, ""kimia"": 65, ""biologi"": 80, ""sosiologi"": 76, ""ekonomi"": 80, ""geografi"": 67, ""pjok"": 85, ""informatika"": 92, ""seni_dan_prakarya"": 60}"
